title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
10 Blind Dates,Ashley Elston,2019,Adult, Young Adult Fantasy, 336 pages  ,4.02,20195,,
99 Percent Mine ,Sally  Thorne,2019,Adult, Romantic Comedy, 368 pages  ,3.39,69346,,
"A Beautiful Wedding (Beautiful, #2.5)",Jamie McGuire,2013,Adult, New Adult Contemporary, 160 pages  ,3.99,62556,,
A Bend in the Road ,Nicholas Sparks,2001,Adult, Contemporary Fiction, 294 pages  ,4.03,147169,,
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,2005,Adult, Historical Fiction, 980 pages  ,4.43,163691,,
"A Brush with Love (A Brush with Love, #1)",Mazey Eddings,2022,Adult, Contemporary Romance, 350 pages  ,3.78,11464,,
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,2018,Young Adult ,Fantasy, 229 pages  ,3.8,433701,,
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,Young Adult ,Fantasy, 626 pages  ,4.62,816759,TRUE,
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,2021,Young Adult ,Fantasy,768,4.41,380727,TRUE,
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,Adult, Fantasy, 416 pages,4.19,1141409,TRUE,
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,2017,Adult, Fantasy, 705 pages,4.43,655054,TRUE,
"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,2019,Young Adult, Fantasy, 496 pages,4.03,122780,,
"A Deal with the Elf King (Married to Magic, #1)",Elise Kova,2020,Young Adult, Fantasy, 340 pages,3.77,61780,,
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,2011,Adult, Fantasy, 579 pages,4.01,445677,,
"A Duke by Default (Reluctant Royals, #2)",Alyssa Cole,2018,Adult, Contemporary Romance, 384 pages,3.89,8423,,
"A Girl Like Her (Ravenswood, #1)",Talia Hibbert,2018,Adult, Contemporary Romance, 380 pages,3.87,8220,,
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,2003,Young Adult, Fantasy, 403 pages,3.79,219739,,
"A Hunger Like No Other (Immortals After Dark, #1)",Kresley Cole,2006,Adult, Paranormal Romance, 358 pages,4.12,78645,,
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,1989,Adult, Historical Romance, 438 pages,4.21,50780,,
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,2020,Adult, Fantasy, 648 pages,4.43,224628,,
"A Kiss at Midnight (Fairy Tales, #1)",Eloisa James,2010,Adult, Historical Romance, 372 pages,3.8,19209,,
"A Kiss for Midwinter (Brothers Sinister, #1.5)",Courtney Milan,2012,Adult, Historical Romance, 370 pages,3.88,9569,,
"A Knight in Shining Armor (Montgomery/Taggert Family, #13)",Jude Deveraux,1989,Adult, Historical Romance, 440 pages,4.2,35480,,
"A Lady by Midnight (Spindle Cove, #3)",Tessa Dare,2012,Adult, Historical Romance, 384 pages,3.87,18785,,
A Lady for a Duke,Alexis  Hall,2022,Adult, Romantic Comedy, 272 pages,4.21,6029,,
"A Lot Like Adios (Primas of Power, #2)",Alexis Daria,2021,Adult, Romantic Comedy, 384 pages,3.75,9457,,
"A Lot like Love (FBI/US Attorney, #2)",Julie James,2011,Adult, Contemporary Fiction, 400 pages,4.07,31866,,
"A Marvellous Light (The Last Binding, #1)",Freya Marske,2021,Young Adult, Fiction, 288 pages,4.03,16806,,
A Midsummer Night's Dream ,William Shakespeare,1595,Adult, Historical Romance, 421 pages,3.95,498829,TRUE,
"A Night Like This (Smythe-Smith Quartet, #2)",Julia Quinn,2012,Adult, Romantic Comedy, 310 pages,3.87,26914,,
"A Night to Surrender (Spindle Cove, #1)",Tessa Dare,2011,Adult, Contemporary Romance, 384 pages,3.75,24837,,
"A Not So Meet Cute (Cane Brothers, #1)",Meghan Quinn,2021,Adult, Contemporary Romance, 384 pages,4.15,60854,,
A Pho Love Story,Loan Le,2021,Adult, Fantasy, 448 pages,3.71,15200,TRUE,
"A Prince on Paper (Reluctant Royals, #3)",Alyssa Cole,2019,Adult, Paranormal Romance, 384 pages,4.04,5598,,
"A Princess in Theory (Reluctant Royals, #1)",Alyssa Cole,2018,Adult, Historical Romance, 400 pages,3.78,14602,,
"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,2016,Adult, Historical Romance, 400 pages,4.04,32350,,
